Match ID,Year,Home Goals,Away Goals,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18
2267,2017,1,1,2367,2347,2378,2948,3228,1976,4466,5140,1623,5923,814,1503,3527,1606,611,3349,6278,6053,5459,4043,3243,2331,3304,407,1906,1602,4908,1115,62,4458,1272,3262,2822,4001,5926,5107
2268,2017,2,2,4963,2241,5421,1573,5591,4389,4909,5330,3114,3378,5218,5201,505,6036,540,6517,2878,3219,2696,6194,4581,3906,2664,2173,4824,3666,3119,3612,751,122,2168,4201,1366,524,4222,3148
2269,2017,1,1,2791,5040,4185,6002,1897,3522,4304,6209,5523,4154,2098,1264,3170,5738,749,597,5020,1605,3006,5449,5424,2505,2940,2167,1938,3204,1363,6045,2269,33,5669,4984,444,4033,5457,5075
2270,2017,0,3,546,3580,5367,5853,123,2419,4424,2978,4794,2816,6141,318,5493,5865,1812,5119,6559,6530,2367,1503,3228,2347,2378,1976,6278,1623,5140,814,5923,1606,4608,2948,611,4466,3349,6053
2271,2017,4,2,754,3210,1302,4698,3279,326,2364,4842,6014,2483,2228,5916,566,3852,5541,1409,5450,6214,2234,3434,3432,1484,4705,441,270,4076,4685,3694,307,355,3192,723,6541,5636,1515,6721
2272,2017,2,1,6202,2921,3299,2014,3436,5968,6417,4733,5831,3515,2851,5732,6170,830,4935,6701,110,3746,1791,975,1903,1921,5997,5929,1216,4976,6712,886,4130,1186,2841,4146,492,368,2701,1354
2273,2017,3,0,5684,4070,3965,5288,820,2077,1547,1640,2687,731,2982,823,2230,2549,5008,3034,1728,1860,5118,2945,6491,5269,6060,2882,6323,3039,3429,5961,747,4315,534,5479,935,3329,2584,662
2274,2017,1,0,2696,6194,4581,3906,2664,2173,3612,4824,3666,3119,751,122,2168,4201,1366,524,6401,3148,1430,4969,2636,5448,2583,1703,1360,4374,3935,767,4626,5881,5672,5418,4205,4220,1028,3577
2275,2017,1,2,5705,4841,6290,4400,4918,2606,4525,2288,4748,3133,2314,2293,4865,1959,6033,1994,6017,3584,5033,1210,2575,1053,1297,1152,5808,2092,2350,632,5458,3664,2387,3359,854,4362,81,3366
2276,2017,1,2,498,3983,6007,6304,2445,401,5654,2101,4930,6233,3955,2381,4322,2455,6286,235,2433,5890,2791,5040,6002,1897,4185,4304,6209,5523,3522,597,4154,1264,3170,749,5738,2098,5020,1605
2277,2017,1,0,4963,2241,5421,1573,5591,4909,3114,6517,4389,5218,3378,5201,505,5330,6036,540,2878,3219,5711,5449,2505,5424,2940,1938,2167,3204,2269,1363,6045,5669,33,5457,444,4984,4033,3006
2278,2017,2,5,5459,1272,4043,3243,3304,1602,221,1115,62,1906,4908,4458,3262,2822,1151,5926,4001,508,4263,2997,563,1168,2784,1687,2078,915,1899,5520,4285,5824,344,3379,3555,1423,1574,757
2279,2017,4,1,2125,486,1783,5569,107,6103,1311,3750,4150,3363,2044,1339,6650,5423,1312,1111,2502,4768,4985,4213,79,1141,6284,5794,2066,282,3117,4880,5789,4921,2304,1079,4819,6442,3954,6698
1910,2017,1,0,1791,975,1903,2835,5929,1216,1921,5997,492,4130,2701,1186,4146,4976,368,886,6712,1354,2125,486,1783,1312,5423,6103,1311,1339,4150,2044,3750,107,5569,6650,3662,1111,2502,4768
1911,2017,2,1,4263,1168,2997,563,2784,1687,2078,915,4285,1899,5520,5824,344,3379,3555,1574,1423,757,498,2445,4322,3983,6286,2455,5654,4836,6007,6233,4930,4091,235,2433,3955,6689,4036,5890
1912,2017,2,2,1430,2583,5418,5448,4969,4374,1028,1703,3935,767,4626,5881,728,2757,5672,4205,4220,3577,546,5853,5493,2978,5865,2419,5119,1812,5367,6141,6559,3580,5852,4794,2816,4923,4424,6530
1913,2017,3,0,4985,4213,2304,1141,6284,5794,627,2066,3954,5789,3117,3141,5572,1079,4819,282,6442,6698,6202,3299,2921,2014,3436,5831,3515,4733,6417,4935,2851,6170,5732,6701,5968,5217,110,827
1914,2017,0,1,2234,1484,441,4076,3434,3694,5636,270,723,4705,4685,3432,3886,3192,585,6541,1515,6721,5705,2293,6290,4841,4525,4918,2606,4748,2314,4567,6033,633,4865,1959,4255,1994,3133,3584
1915,2017,2,3,5711,5424,5669,2505,33,1938,3204,2167,2940,6045,2269,444,1363,4984,4033,5457,6203,3006,5684,5288,820,4070,3965,1640,2077,1547,2687,731,1728,2230,823,3034,2549,5008,2982,1860
1916,2017,0,1,5033,1297,1053,3664,2350,2575,2092,1210,949,1152,632,3359,5808,2387,4362,81,5458,3366,754,3210,4698,4842,3279,5916,2364,326,2483,2228,6014,566,1302,6472,1409,3852,5450,6214
1917,2017,1,1,2367,2378,1503,2347,3228,5140,6278,1623,1976,5923,814,2948,4608,1606,3349,4466,2590,6053,4963,1573,505,5591,2241,4389,4909,6036,540,6517,3378,5421,2093,5201,5330,2577,5218,3219
1918,2017,2,0,2791,6002,5040,1897,4185,5523,749,6209,3170,3522,4154,2736,4304,5738,2098,5020,597,1605,5459,221,3243,3304,1272,2822,966,5926,1602,4908,62,2331,6369,407,1906,4001,1151,508
